sample_id,bin_key,cycle_bin,bfs_bin,choice_bin,endpoint_bin,target_status,target_quota,target_count_final,quota_scope_member_handdraw,quota_scope_member_exploration,is_critical_long_bin,bfs_len,rect_room_compressed_cycle_rank,rect_room_macro_choice_count,rect_room_macro_endpoint_count,free_ratio,reachable_free_ratio,origin_generator,origin_seed_id,route_id,from_sfg,from_rbr,accepted_as_commit,lineage_id,grid_hash,grid_start_goal_hash,start_r,start_c,goal_r,goal_c,ascii_grid,json_grid,visualization_path
item_003964_trial_012281_05_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,4,8,7,0.765625,1.0,dfs_tree_generator,seed003964_dfs_tree_generator,generic_multi_loop_long,False,True,True,seed003964_dfs_tree_generator,d17053a6153d4605,f956fcc5e1dfd747,2,2,4,5,".....##.
.###..#.
.#S..#..
..##.#..
....#G..
...#....
......#.
.......#","[[0,0,0,0,0,1,1,0],[0,1,1,1,0,0,1,0],[0,1,0,0,0,1,0,0],[0,0,1,1,0,1,0,0],[0,0,0,0,1,0,0,0],[0,0,0,1,0,0,0,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,0,1]]",
item_003964_trial_027589_01_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,2,7,7,0.75,1.0,dfs_tree_generator,seed003964_dfs_tree_generator,generic_multi_loop_long,False,True,True,seed003964_dfs_tree_generator,f90957d98aae0a71,e7de2b09f77fbe52,2,2,4,5,".....##.
.###..#.
.#S..#..
..##.#..
....#G..
...##...
......#.
.......#","[[0,0,0,0,0,1,1,0],[0,1,1,1,0,0,1,0],[0,1,0,0,0,1,0,0],[0,0,1,1,0,1,0,0],[0,0,0,0,1,0,0,0],[0,0,0,1,1,0,0,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,0,1]]",
item_004666_trial_065990_02_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,2,8,7,0.703125,1.0,dfs_tree_generator,seed004666_dfs_tree_generator,generic_multi_loop_long,False,True,True,seed004666_dfs_tree_generator,c05e72da613d5bf5,45cbc70e1cfde9fc,3,0,7,1,"........
...#....
..#..#..
S.###..#
..#.##..
.##.##.#
##..#...
.G....#.","[[0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0],[0,0,1,0,0,1,0,0],[0,0,1,1,1,0,0,1],[0,0,1,0,1,1,0,0],[0,1,1,0,1,1,0,1],[1,1,0,0,1,0,0,0],[0,0,0,0,0,0,1,0]]",
item_004746_trial_004746_02_pure_tbi,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,24,2,9,7,0.640625,0.9512195121951219,random_wall_generator,seed004746_random_wall_generator,multi_loop_long_high_choice_high_endpoint,False,True,True,seed004746_random_wall_generator,7da28598ee8e05ce,eafd510f515c3bbd,6,4,7,7,"...##.#.
....#.#.
.#....##
.#.##..#
.###.#..
..#..#.#
.#..S#.#
....#..G","[[0,0,0,1,1,0,1,0],[0,0,0,0,1,0,1,0],[0,1,0,0,0,0,1,1],[0,1,0,1,1,0,0,1],[0,1,1,1,0,1,0,0],[0,0,1,0,0,1,0,1],[0,1,0,0,0,1,0,1],[0,0,0,0,1,0,0,0]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_001.png
item_004977_trial_087502_01_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,6,8,0.75,1.0,random_wall_generator,seed004977_random_wall_generator,generic_multi_loop_medium,False,True,True,seed004977_random_wall_generator,14cda1431ff1a161,596607445ea3498e,3,1,6,0,"........
...#...#
....#..#
.S.#...#
..#.#...
#.#.##.#
G#..#..#
........","[[0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,1],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,0,1],[0,0,1,0,1,0,0,0],[1,0,1,0,1,1,0,1],[0,1,0,0,1,0,0,1],[0,0,0,0,0,0,0,0]]",
item_005080_trial_005080_05_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,3,8,7,0.625,1.0,sfg_generator,seed005080_sfg_generator,multi_loop_long_high_choice_high_endpoint,True,True,True,seed005080_sfg_generator,90d38192768f253b,273d1525e38264c7,6,4,0,5,"#...#G.#
.....#..
.#....#.
....#...
#.###.#.
...#####
#.##S###
#.......","[[1,0,0,0,1,0,0,1],[0,0,0,0,0,1,0,0],[0,1,0,0,0,0,1,0],[0,0,0,0,1,0,0,0],[1,0,1,1,1,0,1,0],[0,0,0,1,1,1,1,1],[1,0,1,1,0,1,1,1],[1,0,0,0,0,0,0,0]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_002.png
item_005256_trial_048928_00_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,24,2,7,7,0.640625,1.0,sfg_generator,seed005256_sfg_generator,generic_multi_loop_long,True,True,True,seed005256_sfg_generator,1800785597244ecf,2373ec66985ddc6f,7,7,7,3,"....####
..#..#.#
.###...#
..#.....
..###...
#..#....
.#.###.#
...G#..S","[[0,0,0,0,1,1,1,1],[0,0,1,0,0,1,0,1],[0,1,1,1,0,0,0,1],[0,0,1,0,0,0,0,0],[0,0,1,1,1,0,0,0],[1,0,0,1,0,0,0,0],[0,1,0,1,1,1,0,1],[0,0,0,0,1,0,0,0]]",
item_005555_trial_005871_00_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,6,7,0.671875,1.0,sfg_generator,seed005555_sfg_generator,multi_loop_long_high_choice_high_endpoint,True,True,True,seed005555_sfg_generator,8bf9d5e64d87652f,76ec99d3a970b219,0,2,1,1,".#S..###
.G##..#.
.#......
..##....
..##....
.#..#..#
..#...##
#...#..#","[[0,1,0,0,0,1,1,1],[0,0,1,1,0,0,1,0],[0,1,0,0,0,0,0,0],[0,0,1,1,0,0,0,0],[0,0,1,1,0,0,0,0],[0,1,0,0,1,0,0,1],[0,0,1,0,0,0,1,1],[1,0,0,0,1,0,0,1]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_004.png
item_005634_trial_013132_04_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,24,2,7,7,0.6875,1.0,sfg_generator,seed005634_sfg_generator,generic_multi_loop_medium,True,True,True,seed005634_sfg_generator,03d30e5274641169,9121c311556370cf,7,1,7,7,".......#
#....#..
#...#...
#...#...
..##..#.
.####..#
....#...
#S##..#G","[[0,0,0,0,0,0,0,1],[1,0,0,0,0,1,0,0],[1,0,0,0,1,0,0,0],[1,0,0,0,1,0,0,0],[0,0,1,1,0,0,1,0],[0,1,1,1,1,0,0,1],[0,0,0,0,1,0,0,0],[1,0,1,1,0,0,1,0]]",
item_005876_trial_006454_03_pure_tbi,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,24,4,7,7,0.65625,1.0,sfg_generator,seed005876_sfg_generator,single_loop_long_high_choice_high_endpoint,True,True,True,seed005876_sfg_generator,001947eca634ea37,67bea48d0614549c,2,6,7,7,"###.#...
##....#.
#....#S.
....###.
.....##.
..#.#.#.
...#...#
##...#.G","[[1,1,1,0,1,0,0,0],[1,1,0,0,0,0,1,0],[1,0,0,0,0,1,0,0],[0,0,0,0,1,1,1,0],[0,0,0,0,0,1,1,0],[0,0,1,0,1,0,1,0],[0,0,0,1,0,0,0,1],[1,1,0,0,0,1,0,0]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_005.png
item_005939_trial_126250_01_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,23,2,8,8,0.65625,1.0,dfs_tree_generator,seed005939_dfs_tree_generator,generic_multi_loop_long,False,True,True,seed005939_dfs_tree_generator,60d335189bcaceee,4d7de9a5dd89bd95,2,4,7,4,"........
...##.#.
..#.S#..
....#..#
#....#..
######.#
........
####G##.","[[0,0,0,0,0,0,0,0],[0,0,0,1,1,0,1,0],[0,0,1,0,0,1,0,0],[0,0,0,0,1,0,0,1],[1,0,0,0,0,1,0,0],[1,1,1,1,1,1,0,1],[0,0,0,0,0,0,0,0],[1,1,1,1,0,1,1,0]]",
item_005968_trial_023098_01_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,3,8,7,0.671875,1.0,sfg_generator,seed005968_sfg_generator,multi_loop_long_high_choice_high_endpoint,True,True,True,seed005968_sfg_generator,c1c4e022d6bbc13f,62f4a2cf30ed76bc,7,0,7,7,".###...#
........
.#..#...
...#.#..
.###....
....##.#
#.###...
S...###G","[[0,1,1,1,0,0,0,1],[0,0,0,0,0,0,0,0],[0,1,0,0,1,0,0,0],[0,0,0,1,0,1,0,0],[0,1,1,1,0,0,0,0],[0,0,0,0,1,1,0,1],[1,0,1,1,1,0,0,0],[0,0,0,0,1,1,1,0]]",
item_006724_trial_009435_02_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,23,2,7,7,0.75,0.9791666666666666,random_wall_generator,seed006724_random_wall_generator,single_loop_long_high_choice_high_endpoint,False,True,True,seed006724_random_wall_generator,844b948be428a294,7cb9c366a2ba4d81,0,3,0,6,"...S#.G#
..##.#..
..#...#.
....##..
...#....
..#.#...
..##.#.#
........","[[0,0,0,0,1,0,0,1],[0,0,1,1,0,1,0,0],[0,0,1,0,0,0,1,0],[0,0,0,0,1,1,0,0],[0,0,0,1,0,0,0,0],[0,0,1,0,1,0,0,0],[0,0,1,1,0,1,0,1],[0,0,0,0,0,0,0,0]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_009.png
item_008416_trial_008416_01_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,23,2,6,7,0.765625,1.0,random_wall_generator,seed008416_random_wall_generator,tree_long_mid_choice_high_endpoint,False,True,True,seed008416_random_wall_generator,25b8e2ae9ff6337a,db7f93529907fcb2,7,3,6,5,"........
..#.###.
...##.#.
..#.....
..#..#..
..#.#...
#..#.G..
...S#...","[[0,0,0,0,0,0,0,0],[0,0,1,0,1,1,1,0],[0,0,0,1,1,0,1,0],[0,0,1,0,0,0,0,0],[0,0,1,0,0,1,0,0],[0,0,1,0,1,0,0,0],[1,0,0,1,0,0,0,0],[0,0,0,0,1,0,0,0]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_006.png
item_008416_trial_008416_03_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,23,2,6,7,0.75,1.0,random_wall_generator,seed008416_random_wall_generator,tree_long_mid_choice_high_endpoint,False,True,True,seed008416_random_wall_generator,92fde88e66ff514d,a2f22d56b51931c1,7,3,6,5,"........
..#.###.
...##.#.
..#.....
..#..#..
..#.#...
#.##.G..
...S#...","[[0,0,0,0,0,0,0,0],[0,0,1,0,1,1,1,0],[0,0,0,1,1,0,1,0],[0,0,1,0,0,0,0,0],[0,0,1,0,0,1,0,0],[0,0,1,0,1,0,0,0],[1,0,1,1,0,0,0,0],[0,0,0,0,1,0,0,0]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_007.png
item_008565_trial_008565_04_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,8,8,0.59375,1.0,sfg_generator,seed008565_sfg_generator,multi_loop_long_high_choice_high_endpoint,True,True,True,seed008565_sfg_generator,6da07034178e8542,f23dbdfa0e6fe8e8,1,5,1,7,"##...###
...#.S#G
#.#..#..
...####.
##..###.
.....#..
..#....#
##....##","[[1,1,0,0,0,1,1,1],[0,0,0,1,0,0,1,0],[1,0,1,0,0,1,0,0],[0,0,0,1,1,1,1,0],[1,1,0,0,1,1,1,0],[0,0,0,0,0,1,0,0],[0,0,1,0,0,0,0,1],[1,1,0,0,0,0,1,1]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_008.png
item_011312_trial_011803_05_pure_tbi,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,2,6,7,0.796875,1.0,random_wall_generator,seed011312_random_wall_generator,multi_loop_long_high_choice_high_endpoint,False,True,True,seed011312_random_wall_generator,dc9954cbf46deb61,384cdb5041b01ad9,0,2,2,3,"..S#....
.##.#...
..#G....
.#.#....
....#.#.
..##....
...#....
.#......","[[0,0,0,1,0,0,0,0],[0,1,1,0,1,0,0,0],[0,0,1,0,0,0,0,0],[0,1,0,1,0,0,0,0],[0,0,0,0,1,0,1,0],[0,0,1,1,0,0,0,0],[0,0,0,1,0,0,0,0],[0,1,0,0,0,0,0,0]]",
item_011889_trial_011889_05_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,23,2,8,7,0.609375,1.0,sfg_generator,seed011889_sfg_generator,single_loop_long_high_choice_high_endpoint,True,True,True,seed011889_sfg_generator,18b5af14b051ab9c,c0d149e9ce552411,4,3,7,7,".#....##
...#...#
.#......
.#.####.
..#S#...
#...##.#
##.#....
##.#.##G","[[0,1,0,0,0,0,1,1],[0,0,0,1,0,0,0,1],[0,1,0,0,0,0,0,0],[0,1,0,1,1,1,1,0],[0,0,1,0,1,0,0,0],[1,0,0,0,1,1,0,1],[1,1,0,1,0,0,0,0],[1,1,0,1,0,1,1,0]]",
item_013564_trial_035364_00_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,25,2,7,7,0.625,1.0,sfg_generator,seed013564_sfg_generator,multi_loop_long_high_choice_high_endpoint,True,True,True,seed013564_sfg_generator,b10f3e47287bd061,c980789b4b0bb492,0,6,6,7,"#...##S.
.....##.
...#..#.
..###...
#..###.#
#.#.#.##
......#G
##..#...","[[1,0,0,0,1,1,0,0],[0,0,0,0,0,1,1,0],[0,0,0,1,0,0,1,0],[0,0,1,1,1,0,0,0],[1,0,0,1,1,1,0,1],[1,0,1,0,1,0,1,1],[0,0,0,0,0,0,1,0],[1,1,0,0,1,0,0,0]]",
item_013599_trial_014121_02_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,2,10,10,0.71875,1.0,random_wall_generator,seed013599_random_wall_generator,multi_loop_long_high_choice_high_endpoint,False,True,True,seed013599_random_wall_generator,b5c50bb9c418c3b2,2fbc933ca5dacd94,3,1,7,0,".#......
...#...#
.#.#..##
.S###...
.#....#.
#.#...#.
....#..#
G#......","[[0,1,0,0,0,0,0,0],[0,0,0,1,0,0,0,1],[0,1,0,1,0,0,1,1],[0,0,1,1,1,0,0,0],[0,1,0,0,0,0,1,0],[1,0,1,0,0,0,1,0],[0,0,0,0,1,0,0,1],[0,1,0,0,0,0,0,0]]",
item_014330_trial_021649_03_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,8,7,0.640625,1.0,sfg_generator,seed014330_sfg_generator,multi_loop_long_high_choice_high_endpoint,True,True,True,seed014330_sfg_generator,035a657d6c91c296,b6117bed8acce8f2,0,1,0,7,".S#####G
.##.##..
..#.#..#
....#..#
...#.#..
#....#..
..#.##.#
.#......","[[0,0,1,1,1,1,1,0],[0,1,1,0,1,1,0,0],[0,0,1,0,1,0,0,1],[0,0,0,0,1,0,0,1],[0,0,0,1,0,1,0,0],[1,0,0,0,0,1,0,0],[0,0,1,0,1,1,0,1],[0,1,0,0,0,0,0,0]]",
item_015152_trial_019133_05_pure_tbi,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,4,10,7,0.6875,1.0,sfg_generator,seed015152_sfg_generator,single_loop_long_high_choice_high_endpoint,True,True,True,seed015152_sfg_generator,bb14135d9629fe4a,d0cf270a7b07bc19,4,7,2,7,".#.....#
...#.#..
#...#.#G
....#..#
.#..##.S
....#..#
#...#.##
..#....#","[[0,1,0,0,0,0,0,1],[0,0,0,1,0,1,0,0],[1,0,0,0,1,0,1,0],[0,0,0,0,1,0,0,1],[0,1,0,0,1,1,0,0],[0,0,0,0,1,0,0,1],[1,0,0,0,1,0,1,1],[0,0,1,0,0,0,0,1]]",
item_016139_trial_079245_00_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,3,9,8,0.65625,1.0,sfg_generator,seed016139_sfg_generator,generic_multi_loop_long,True,True,True,seed016139_sfg_generator,b74d8130170d76b1,ce412a3885c604f2,6,7,3,7,".###.#.#
.....#.#
...#...#
....##.G
..#.##.#
...#.#.#
#.....#S
#...#...","[[0,1,1,1,0,1,0,1],[0,0,0,0,0,1,0,1],[0,0,0,1,0,0,0,1],[0,0,0,0,1,1,0,0],[0,0,1,0,1,1,0,1],[0,0,0,1,0,1,0,1],[1,0,0,0,0,0,1,0],[1,0,0,0,1,0,0,0]]",
item_017070_trial_017167_01_pure_tbi,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,23,3,9,7,0.625,1.0,sfg_generator,seed017070_sfg_generator,generic_multi_loop_long,True,True,True,seed017070_sfg_generator,41b964e9673c0819,4d202778173342d0,5,0,7,3,"...#....
.#....#.
...#.##.
.#..#...
...###.#
S####...
####...#
###G....","[[0,0,0,1,0,0,0,0],[0,1,0,0,0,0,1,0],[0,0,0,1,0,1,1,0],[0,1,0,0,1,0,0,0],[0,0,0,1,1,1,0,1],[0,1,1,1,1,0,0,0],[1,1,1,1,0,0,0,1],[1,1,1,0,0,0,0,0]]",
item_017168_trial_019507_02_pure_tbi,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,8,7,0.640625,1.0,sfg_generator,seed017168_sfg_generator,multi_loop_long_high_choice_high_endpoint,True,True,True,seed017168_sfg_generator,9b41c81e3da9df49,30c7c5c82952302f,3,7,7,7,"#....#..
..##...#
...##...
..#..##S
#...####
..#..#.#
#.......
###...#G","[[1,0,0,0,0,1,0,0],[0,0,1,1,0,0,0,1],[0,0,0,1,1,0,0,0],[0,0,1,0,0,1,1,0],[1,0,0,0,1,1,1,1],[0,0,1,0,0,1,0,1],[1,0,0,0,0,0,0,0],[1,1,1,0,0,0,1,0]]",
item_018114_trial_018114_03_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,24,4,10,8,0.796875,0.9607843137254902,random_wall_generator,seed018114_random_wall_generator,generic_multi_loop_medium,False,True,True,seed018114_random_wall_generator,70c52519e0ddff86,dfa3cf657151204c,3,0,5,0,"........
.....#..
....#.#.
S#.#.#..
#.#.#.#.
G...#...
##......
........","[[0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0],[0,0,0,0,1,0,1,0],[0,1,0,1,0,1,0,0],[1,0,1,0,1,0,1,0],[0,0,0,0,1,0,0,0],[1,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]",
